CUST_NO_y,VTG,AGETIER
6967931.8,3 th,21-30 th
7006101.6,2 th,21-30 th
7037917.6,2 th,21-30 th
7018789.8,2 th,21-30 th
7080964.4,2 th,21-30 th
7082216.8,2 th,21-30 th
7093571.4,2 th,21-30 th
7173588.0,2 th,21-30 th
7206015.6,2 th,41-50 th
7245091.6,2 th,31-40 th
7268558.0,2 th,31-40 th
7253800.2,2 th,21-30 th
7295216.4,2 th,21-30 th
7370281.8,2 th,21-30 th
7363358.8,2 th,21-30 th
7358468.8,2 th,21-30 th
7359072.6,2 th,21-30 th
7379800.4,2 th,31-40 th
7420415.4,1 th,21-30 th
7439988.0,1 th,21-30 th
7427851.6,1 th,21-30 th
7473593.4,1 th,21-30 th
7465624.0,1 th,21-30 th
7474207.6,1 th,51-65 th
7461039.0,1 th,21-30 th
7515700.4,1 th,21-30 th
7532543.8,1 th,21-30 th
7556305.6,1 th,21-30 th
7638292.8,1 th,31-40 th
7631668.0,1 th,41-50 th
7660740.4,1 th,21-30 th
7666478.4,1 th,51-65 th
7646682.2,1 th,21-30 th
7731688.0,1 th,21-30 th
7727632.8,1 th,21-30 th
7726912.0,1 th,51-65 th
7747240.2,1 th,21-30 th
7770262.0,1 th,21-30 th
7813207.0,1 th,31-40 th
7840088.8,1 th,41-50 th
3032129.4,> 20 th,41-50 th
2831389.4,16-20 th,41-50 th
2755377.0,16-20 th,21-30 th
2687637.4,16-20 th,41-50 th
2657348.6,16-20 th,41-50 th
2517038.4,16-20 th,41-50 th
2405547.2,16-20 th,31-40 th
2242228.0,16-20 th,41-50 th
2177273.4,16-20 th,41-50 th
1947630.4,16-20 th,31-40 th
1554595.6,> 20 th,51-65 th
1084577.4,> 20 th,41-50 th
1005421.2,> 20 th,41-50 th
2980771.0,16-20 th,31-40 th
2970314.4,16-20 th,31-40 th
2925739.8,16-20 th,31-40 th
2959496.8,16-20 th,31-40 th
2878975.0,16-20 th,31-40 th
2693877.8,16-20 th,31-40 th
2677145.4,16-20 th,51-65 th
2437626.0,16-20 th,31-40 th
2382311.8,16-20 th,41-50 th
1990582.6,16-20 th,41-50 th
1763453.4,16-20 th,31-40 th
1589314.2,16-20 th,31-40 th
1449522.0,16-20 th,41-50 th
1108652.6,> 20 th,41-50 th
313179.2,> 20 th,41-50 th
3072104.0,16-20 th,31-40 th
3358569.8,16-20 th,41-50 th
3377107.0,11-15 th,31-40 th
3532207.4,11-15 th,41-50 th
3571447.8,11-15 th,31-40 th
3590079.0,11-15 th,41-50 th
3579307.0,11-15 th,31-40 th
3643896.2,11-15 th,31-40 th
3744508.2,> 20 th,51-65 th
3820805.4,11-15 th,31-40 th
3871428.4,11-15 th,41-50 th
3895955.4,11-15 th,31-40 th
3944478.2,11-15 th,21-30 th
4011728.0,11-15 th,31-40 th
4042180.0,11-15 th,31-40 th
4103584.4,11-15 th,31-40 th
4137105.8,11-15 th,31-40 th
4131695.6,11-15 th,41-50 th
4151814.6,11-15 th,51-65 th
4302382.6,6-10 th,31-40 th
4278238.4,6-10 th,41-50 th
4279278.8,6-10 th,31-40 th
4432251.8,6-10 th,31-40 th
4385574.8,6-10 th,21-30 th
4385864.4,6-10 th,21-30 th
4389452.8,6-10 th,31-40 th
4440538.6,6-10 th,21-30 th
4527117.6,6-10 th,31-40 th
4490324.4,6-10 th,31-40 th
4504858.0,6-10 th,31-40 th
4570824.2,6-10 th,21-30 th
4548240.2,6-10 th,21-30 th
4551884.0,6-10 th,31-40 th
4635120.8,6-10 th,41-50 th
4636407.0,6-10 th,31-40 th
4644729.6,6-10 th,21-30 th
4785748.4,6-10 th,21-30 th
4781458.6,6-10 th,31-40 th
4817528.2,6-10 th,21-30 th
4812225.2,6-10 th,41-50 th
4887975.4,6-10 th,41-50 th
4952218.6,6-10 th,31-40 th
4976978.0,6-10 th,21-30 th
5050703.6,6-10 th,21-30 th
5026442.4,6-10 th,41-50 th
5087475.4,6-10 th,21-30 th
5071568.0,6-10 th,31-40 th
5075567.2,6-10 th,21-30 th
5072497.6,6-10 th,21-30 th
5107827.6,6-10 th,21-30 th
5117474.4,6-10 th,21-30 th
5165019.0,6-10 th,31-40 th
5152622.8,6-10 th,21-30 th
5157610.6,6-10 th,21-30 th
5216467.0,6-10 th,21-30 th
5189208.8,6-10 th,31-40 th
5194591.6,6-10 th,21-30 th
5190712.6,6-10 th,21-30 th
5197327.2,6-10 th,21-30 th
5247790.2,6-10 th,31-40 th
5224572.6,6-10 th,21-30 th
5287574.0,6-10 th,31-40 th
5265356.0,6-10 th,31-40 th
5367077.2,6-10 th,31-40 th
5446405.8,6-10 th,31-40 th
5447798.0,6-10 th,21-30 th
5443333.0,6-10 th,21-30 th
5425850.2,6-10 th,21-30 th
5481699.4,6-10 th,21-30 th
5466388.0,6-10 th,21-30 th
5460254.2,6-10 th,21-30 th
5529761.8,6-10 th,21-30 th
5531000.0,6-10 th,31-40 th
5563267.0,6-10 th,21-30 th
5535657.8,6-10 th,51-65 th
5540864.8,6-10 th,21-30 th
5542694.2,6-10 th,21-30 th
5588243.6,6-10 th,21-30 th
5585596.8,6-10 th,21-30 th
5572300.6,6-10 th,31-40 th
5629287.2,6-10 th,21-30 th
5607238.0,6-10 th,41-50 th
5618270.0,6-10 th,21-30 th
5643187.4,6-10 th,21-30 th
5698336.2,6-10 th,31-40 th
5705511.6,6-10 th,21-30 th
5736325.4,5 th,21-30 th
5714002.8,6-10 th,21-30 th
5762031.2,5 th,21-30 th
5794217.2,5 th,21-30 th
5906169.4,5 th,31-40 th
5859368.2,5 th,21-30 th
5955601.2,5 th,21-30 th
5938090.6,5 th,21-30 th
5968385.8,5 th,21-30 th
5967666.6,5 th,21-30 th
6006077.0,5 th,21-30 th
6041122.6,5 th,31-40 th
6087499.2,5 th,31-40 th
6094804.6,5 th,21-30 th
6136977.4,4 th,21-30 th
6147400.2,4 th,21-30 th
6124524.0,5 th,51-65 th
6163805.0,4 th,21-30 th
6208019.8,4 th,21-30 th
6183814.2,4 th,21-30 th
6227393.4,4 th,21-30 th
6259585.8,4 th,21-30 th
6248144.6,4 th,21-30 th
6287322.2,4 th,21-30 th
6336787.4,4 th,21-30 th
6342121.2,4 th,21-30 th
6386358.8,4 th,21-30 th
6408504.0,4 th,21-30 th
6392755.8,4 th,21-30 th
