CUST_NO_y,VTG,AGETIER
7309975.4,2 th,31-40 th
7369761.8,2 th,21-30 th
7370703.0,2 th,21-30 th
7365064.6,2 th,21-30 th
7352336.0,2 th,41-50 th
7396516.4,2 th,21-30 th
7416518.2,1 th,41-50 th
7434272.0,1 th,21-30 th
7458527.6,1 th,21-30 th
7545837.4,1 th,31-40 th
7544770.2,1 th,21-30 th
7569006.0,1 th,21-30 th
7564825.8,1 th,21-30 th
7556066.6,1 th,21-30 th
7610287.0,1 th,41-50 th
7607623.2,1 th,21-30 th
7598177.8,1 th,21-30 th
7638692.6,1 th,21-30 th
7621953.6,1 th,21-30 th
7645911.0,1 th,51-65 th
7684093.6,1 th,21-30 th
7672474.8,1 th,31-40 th
7693784.4,1 th,41-50 th
7731968.2,1 th,21-30 th
7717348.6,1 th,21-30 th
7741332.2,1 th,31-40 th
7823959.0,1 th,21-30 th
7845911.4,1 th,21-30 th
7870662.2,1 th,41-50 th
3016229.4,16-20 th,31-40 th
2753387.8,16-20 th,21-30 th
2355792.6,16-20 th,41-50 th
2357656.4,16-20 th,41-50 th
2385177.0,16-20 th,41-50 th
2373451.8,16-20 th,51-65 th
1654849.2,16-20 th,51-65 th
1290668.6,> 20 th,41-50 th
841284.4,> 20 th,31-40 th
2799805.2,16-20 th,51-65 th
2817293.0,16-20 th,41-50 th
2675013.4,16-20 th,31-40 th
2612846.2,16-20 th,41-50 th
2427923.8,16-20 th,31-40 th
2198379.4,16-20 th,41-50 th
1189193.2,> 20 th,41-50 th
1223245.2,> 20 th,41-50 th
1024152.2,> 20 th,51-65 th
903541.2,> 20 th,31-40 th
512445.8,> 20 th,51-65 th
387557.4,> 20 th,41-50 th
3068928.4,16-20 th,31-40 th
3304750.6,11-15 th,31-40 th
3404694.6,11-15 th,31-40 th
3397442.8,11-15 th,41-50 th
3388914.0,11-15 th,31-40 th
3466691.6,11-15 th,31-40 th
3451618.0,11-15 th,41-50 th
3494976.8,11-15 th,31-40 th
3725520.2,11-15 th,31-40 th
3766738.4,11-15 th,31-40 th
3813480.2,11-15 th,51-65 th
3860290.0,11-15 th,31-40 th
3917781.0,16-20 th,31-40 th
3904419.2,11-15 th,31-40 th
3907399.2,11-15 th,31-40 th
3935712.0,11-15 th,41-50 th
4028754.4,11-15 th,41-50 th
4075641.2,11-15 th,31-40 th
4101671.8,11-15 th,41-50 th
4154641.0,11-15 th,41-50 th
4188454.8,11-15 th,31-40 th
4164006.6,11-15 th,31-40 th
4168834.6,11-15 th,31-40 th
4222483.8,11-15 th,21-30 th
4305080.6,6-10 th,51-65 th
4283669.6,6-10 th,31-40 th
4431151.0,6-10 th,31-40 th
4465478.4,6-10 th,21-30 th
4466006.2,6-10 th,41-50 th
4483126.2,6-10 th,31-40 th
4560407.8,6-10 th,51-65 th
4544542.2,6-10 th,41-50 th
4540683.4,6-10 th,31-40 th
4592518.4,6-10 th,31-40 th
4601422.6,6-10 th,21-30 th
4686957.8,6-10 th,21-30 th
4669583.2,6-10 th,21-30 th
4661897.8,6-10 th,21-30 th
4765819.8,6-10 th,31-40 th
4751782.2,6-10 th,31-40 th
4800563.6,6-10 th,21-30 th
4797586.0,6-10 th,31-40 th
4925012.4,6-10 th,41-50 th
4891239.0,6-10 th,41-50 th
5016392.2,6-10 th,21-30 th
4998659.8,6-10 th,31-40 th
4984669.0,6-10 th,41-50 th
5046297.4,6-10 th,41-50 th
5095097.8,6-10 th,21-30 th
5060890.8,6-10 th,51-65 th
5139881.0,6-10 th,41-50 th
5120314.4,6-10 th,41-50 th
5104714.0,6-10 th,21-30 th
5109622.2,6-10 th,31-40 th
5173925.2,6-10 th,41-50 th
5159026.6,6-10 th,41-50 th
5154773.6,6-10 th,21-30 th
5208010.4,6-10 th,21-30 th
5182924.6,6-10 th,41-50 th
5201606.4,6-10 th,21-30 th
5253070.4,6-10 th,21-30 th
5240555.6,6-10 th,21-30 th
5223579.4,6-10 th,41-50 th
5301817.4,6-10 th,21-30 th
5301866.4,6-10 th,21-30 th
5271128.4,6-10 th,21-30 th
5341288.0,6-10 th,21-30 th
5326507.4,6-10 th,31-40 th
5379189.0,6-10 th,21-30 th
5372838.8,6-10 th,31-40 th
5373824.2,6-10 th,21-30 th
5348389.8,6-10 th,41-50 th
5406276.4,6-10 th,31-40 th
5383493.2,6-10 th,21-30 th
5431753.0,6-10 th,21-30 th
5530884.4,6-10 th,21-30 th
5517888.6,6-10 th,31-40 th
5503872.4,6-10 th,31-40 th
5558375.2,16-20 th,31-40 th
5561550.2,6-10 th,21-30 th
5547137.2,6-10 th,21-30 th
5536127.2,6-10 th,21-30 th
5601972.8,6-10 th,21-30 th
5575628.6,6-10 th,21-30 th
5572841.0,6-10 th,31-40 th
5633942.2,6-10 th,31-40 th
5609680.6,6-10 th,21-30 th
5675324.2,6-10 th,21-30 th
5659659.0,6-10 th,31-40 th
5670353.8,6-10 th,21-30 th
5712535.8,6-10 th,31-40 th
5700372.8,6-10 th,21-30 th
5710753.6,6-10 th,21-30 th
5723471.4,5 th,31-40 th
5779322.8,16-20 th,41-50 th
5761476.2,5 th,21-30 th
5760009.6,5 th,31-40 th
5792293.6,5 th,21-30 th
5785991.0,5 th,21-30 th
5789371.2,5 th,21-30 th
5838082.4,5 th,21-30 th
5833532.8,5 th,41-50 th
5826539.4,5 th,21-30 th
5871133.0,5 th,31-40 th
5900738.8,5 th,21-30 th
5948041.4,5 th,41-50 th
5932734.2,5 th,21-30 th
5885967.8,5 th,31-40 th
5963044.0,5 th,31-40 th
5962494.4,5 th,21-30 th
5995611.8,5 th,21-30 th
5990706.8,5 th,31-40 th
6036912.2,11-15 th,31-40 th
6057922.0,5 th,21-30 th
6057103.6,5 th,21-30 th
6022459.0,5 th,21-30 th
6114386.0,5 th,21-30 th
6095843.4,5 th,31-40 th
6139831.8,4 th,21-30 th
6127221.8,4 th,21-30 th
6202153.6,4 th,21-30 th
6180099.4,4 th,31-40 th
6187870.4,4 th,21-30 th
6229232.8,4 th,31-40 th
6256045.8,4 th,21-30 th
6261076.6,4 th,31-40 th
6250758.6,4 th,31-40 th
6251532.2,4 th,51-65 th
6289797.8,4 th,21-30 th
6299525.8,4 th,31-40 th
6283808.8,4 th,31-40 th
6308653.0,16-20 th,41-50 th
6383062.4,4 th,21-30 th
6365318.8,4 th,21-30 th
6410667.0,4 th,21-30 th
6438568.2,4 th,21-30 th
6442173.0,4 th,21-30 th
6426200.6,4 th,21-30 th
6472838.8,4 th,21-30 th
6508026.8,> 20 th,51-65 th
6505922.4,4 th,21-30 th
6489419.8,4 th,21-30 th
6569149.0,4 th,41-50 th
6624514.6,3 th,21-30 th
6620843.2,3 th,21-30 th
6625552.0,3 th,21-30 th
6614704.2,3 th,21-30 th
6677258.4,3 th,21-30 th
6703632.4,3 th,21-30 th
6737965.8,3 th,41-50 th
6749748.4,3 th,31-40 th
6750358.6,3 th,51-65 th
6789363.4,3 th,21-30 th
6804664.8,3 th,21-30 th
6857273.2,3 th,21-30 th
6895883.8,3 th,21-30 th
6903821.0,3 th,21-30 th
6895663.8,3 th,21-30 th
6927595.0,3 th,21-30 th
6953176.6,3 th,41-50 th
6972113.6,3 th,21-30 th
6970163.2,3 th,21-30 th
7022644.6,2 th,21-30 th
7086108.8,2 th,21-30 th
7133212.0,2 th,31-40 th
7124795.0,2 th,21-30 th
7186224.4,2 th,21-30 th
7269250.2,2 th,21-30 th
7292240.4,2 th,31-40 th
7298620.2,2 th,21-30 th
7277898.4,6-10 th,21-30 th
7323896.4,2 th,21-30 th
7316901.0,2 th,31-40 th
7315795.0,2 th,21-30 th
7342127.4,2 th,21-30 th
7335023.6,2 th,21-30 th
7335862.2,2 th,21-30 th
7375548.6,2 th,21-30 th
7392116.6,2 th,21-30 th
7391128.2,2 th,21-30 th
7385089.2,2 th,21-30 th
7376423.0,2 th,21-30 th
7430799.4,1 th,21-30 th
7431997.8,1 th,21-30 th
7462239.4,1 th,21-30 th
7490663.4,1 th,21-30 th
7491395.0,1 th,31-40 th
7556728.4,1 th,21-30 th
7556801.4,1 th,21-30 th
7604830.2,1 th,51-65 th
7604333.0,1 th,31-40 th
7635447.8,1 th,31-40 th
7664694.6,1 th,21-30 th
7710430.2,6-10 th,31-40 th
7698292.6,1 th,31-40 th
7697631.0,1 th,31-40 th
7721963.2,1 th,21-30 th
7807897.8,1 th,21-30 th
2680905.6,16-20 th,31-40 th
2654171.4,16-20 th,41-50 th
2434436.0,16-20 th,31-40 th
2273270.4,16-20 th,41-50 th
1583617.2,16-20 th,41-50 th
1614961.4,16-20 th,51-65 th
1453583.6,16-20 th,51-65 th
1339772.2,> 20 th,31-40 th
749173.8,> 20 th,51-65 th
703631.2,> 20 th,41-50 th
476051.8,> 20 th,41-50 th
288055.4,> 20 th,41-50 th
3006278.6,16-20 th,31-40 th
2922729.6,16-20 th,41-50 th
2774668.4,16-20 th,21-30 th
2811310.4,16-20 th,51-65 th
2720423.8,16-20 th,41-50 th
2736358.2,16-20 th,41-50 th
2756238.4,16-20 th,31-40 th
2466501.0,16-20 th,41-50 th
2384539.4,16-20 th,31-40 th
2166036.6,16-20 th,41-50 th
2001920.0,16-20 th,21-30 th
1716250.2,16-20 th,31-40 th
1701939.0,16-20 th,31-40 th
1218468.8,> 20 th,51-65 th
885905.2,> 20 th,51-65 th
693977.6,> 20 th,41-50 th
659494.6,> 20 th,51-65 th
294844.6,> 20 th,41-50 th
279573.2,> 20 th,41-50 th
3138308.8,16-20 th,31-40 th
3186179.6,16-20 th,31-40 th
3156033.2,16-20 th,31-40 th
3241666.6,16-20 th,41-50 th
3305235.0,11-15 th,31-40 th
3348953.0,11-15 th,51-65 th
3339824.0,11-15 th,31-40 th
3386773.8,11-15 th,51-65 th
3507058.2,16-20 th,31-40 th
3619438.6,11-15 th,51-65 th
3638955.6,11-15 th,31-40 th
3853289.8,11-15 th,41-50 th
3879671.8,11-15 th,31-40 th
3875737.4,16-20 th,41-50 th
3912203.6,11-15 th,51-65 th
4153968.0,11-15 th,51-65 th
4207696.2,11-15 th,31-40 th
4233858.2,11-15 th,31-40 th
4309414.6,6-10 th,41-50 th
4327007.8,11-15 th,51-65 th
4291662.8,6-10 th,31-40 th
4279731.4,6-10 th,31-40 th
4286184.4,6-10 th,31-40 th
4360763.4,6-10 th,41-50 th
4346509.2,6-10 th,31-40 th
4347403.2,6-10 th,21-30 th
4416002.2,6-10 th,31-40 th
4429534.2,6-10 th,21-30 th
4422803.6,6-10 th,31-40 th
4383051.8,6-10 th,31-40 th
4458644.6,6-10 th,31-40 th
4442068.8,6-10 th,31-40 th
4521712.8,6-10 th,21-30 th
4526078.6,6-10 th,21-30 th
4500698.6,6-10 th,41-50 th
4636663.0,6-10 th,21-30 th
4597252.4,6-10 th,51-65 th
4592275.6,6-10 th,31-40 th
4666710.4,6-10 th,31-40 th
4684990.4,6-10 th,31-40 th
4650630.8,6-10 th,21-30 th
4709489.2,6-10 th,31-40 th
4712136.6,6-10 th,21-30 th
4766884.0,6-10 th,31-40 th
4769517.2,6-10 th,31-40 th
4743371.4,11-15 th,31-40 th
4828288.2,6-10 th,41-50 th
4796086.8,6-10 th,51-65 th
4860199.4,6-10 th,21-30 th
4842339.8,6-10 th,21-30 th
4909979.0,6-10 th,21-30 th
4901212.4,6-10 th,31-40 th
4970842.0,6-10 th,21-30 th
4960261.0,6-10 th,31-40 th
4958586.0,6-10 th,21-30 th
4955865.0,6-10 th,21-30 th
4929299.2,6-10 th,31-40 th
4929943.2,6-10 th,21-30 th
4934327.8,6-10 th,31-40 th
4988593.4,6-10 th,41-50 th
5059384.8,6-10 th,21-30 th
5047076.2,6-10 th,31-40 th
5028141.6,6-10 th,41-50 th
5125310.8,6-10 th,41-50 th
5128358.4,6-10 th,31-40 th
5170280.2,6-10 th,41-50 th
5245425.4,6-10 th,21-30 th
5247948.0,6-10 th,41-50 th
5224584.6,6-10 th,21-30 th
5233825.4,6-10 th,21-30 th
5223178.6,6-10 th,31-40 th
5329304.8,6-10 th,21-30 th
5335620.4,6-10 th,21-30 th
5377949.8,6-10 th,31-40 th
5385822.4,6-10 th,21-30 th
5460886.4,6-10 th,31-40 th
5517768.6,6-10 th,31-40 th
5512294.6,6-10 th,41-50 th
5507542.2,6-10 th,31-40 th
5562963.0,6-10 th,41-50 th
5558202.8,11-15 th,31-40 th
5564798.6,6-10 th,21-30 th
5580148.6,6-10 th,21-30 th
5632957.8,6-10 th,21-30 th
5640919.2,6-10 th,31-40 th
5617019.0,6-10 th,21-30 th
5660586.2,6-10 th,41-50 th
5643602.0,6-10 th,31-40 th
5703444.8,6-10 th,21-30 th
5737833.0,5 th,31-40 th
5730854.6,5 th,51-65 th
5803696.0,5 th,31-40 th
5815021.4,5 th,21-30 th
5905889.2,5 th,21-30 th
5943799.0,5 th,21-30 th
5947396.4,5 th,21-30 th
5956805.0,5 th,21-30 th
5986250.4,5 th,41-50 th
5978895.4,5 th,31-40 th
5981552.4,5 th,21-30 th
5969412.0,5 th,21-30 th
6021917.2,5 th,31-40 th
6005724.4,5 th,21-30 th
6041492.2,5 th,21-30 th
6023293.0,5 th,21-30 th
6033101.8,5 th,21-30 th
6054000.4,5 th,21-30 th
6104872.4,5 th,21-30 th
6103862.6,5 th,21-30 th
6088837.4,5 th,21-30 th
6093535.6,5 th,21-30 th
6087474.2,5 th,31-40 th
6166556.2,4 th,51-65 th
6150020.6,4 th,21-30 th
6206306.6,4 th,21-30 th
6266617.6,4 th,41-50 th
6261780.6,4 th,21-30 th
6248085.2,4 th,21-30 th
6277893.2,4 th,31-40 th
6307608.6,4 th,31-40 th
6347608.0,4 th,21-30 th
6421051.2,4 th,21-30 th
6406032.2,4 th,41-50 th
6398358.0,4 th,21-30 th
6477022.6,4 th,51-65 th
6477619.2,4 th,21-30 th
6461577.6,4 th,21-30 th
6465610.0,4 th,21-30 th
6461432.4,4 th,21-30 th
6456320.2,4 th,21-30 th
6508427.4,4 th,21-30 th
6518370.8,4 th,21-30 th
6544515.2,11-15 th,41-50 th
6624210.4,3 th,21-30 th
6606943.4,3 th,41-50 th
6703770.0,3 th,31-40 th
6693543.6,3 th,21-30 th
6726105.8,3 th,21-30 th
6742389.4,3 th,21-30 th
6750444.2,3 th,21-30 th
6789458.8,3 th,31-40 th
6782257.8,3 th,21-30 th
6833895.2,3 th,41-50 th
6821926.8,3 th,21-30 th
6870425.0,3 th,21-30 th
6901235.6,3 th,21-30 th
6898887.6,3 th,21-30 th
6917838.6,3 th,21-30 th
6987792.6,3 th,21-30 th
7017125.4,2 th,51-65 th
7060915.4,2 th,41-50 th
7074902.6,2 th,21-30 th
7077116.4,2 th,21-30 th
7112688.6,2 th,21-30 th
7104489.4,2 th,21-30 th
7135077.2,2 th,31-40 th
7126946.2,2 th,21-30 th
7127234.0,2 th,21-30 th
7127284.6,2 th,21-30 th
7196598.4,2 th,31-40 th
7172697.4,2 th,31-40 th
7221291.4,2 th,41-50 th
7238794.4,2 th,41-50 th
7270385.6,2 th,21-30 th
7252784.4,2 th,31-40 th
7251586.2,2 th,21-30 th
7317646.2,2 th,21-30 th
7306335.8,2 th,31-40 th
7311470.4,2 th,51-65 th
7304434.2,2 th,21-30 th
7353184.8,2 th,21-30 th
7389928.4,2 th,31-40 th
7392948.4,2 th,21-30 th
7382359.6,2 th,21-30 th
7410555.8,2 th,21-30 th
7452266.8,1 th,21-30 th
7489056.2,1 th,21-30 th
7474760.4,1 th,21-30 th
7542313.4,1 th,21-30 th
7543311.8,1 th,21-30 th
7587053.2,1 th,31-40 th
7582199.2,1 th,21-30 th
7580722.8,1 th,21-30 th
7682089.6,1 th,21-30 th
7684885.6,1 th,21-30 th
7728075.6,1 th,21-30 th
7786459.4,1 th,21-30 th
7770497.4,1 th,21-30 th
7787923.8,1 th,31-40 th
7835637.4,1 th,21-30 th
7814588.8,1 th,21-30 th
7815363.2,1 th,21-30 th
7865124.8,1 th,31-40 th
7864075.8,1 th,21-30 th
2937535.0,16-20 th,31-40 th
2852533.0,16-20 th,31-40 th
2731024.8,16-20 th,21-30 th
2075718.8,16-20 th,41-50 th
1871723.6,16-20 th,31-40 th
1627583.8,16-20 th,31-40 th
1509261.6,16-20 th,51-65 th
587489.6,> 20 th,51-65 th
621374.0,> 20 th,41-50 th
2736758.4,16-20 th,31-40 th
2600378.2,16-20 th,31-40 th
2561851.0,16-20 th,51-65 th
2179806.8,16-20 th,41-50 th
2093221.2,16-20 th,51-65 th
2136562.2,16-20 th,41-50 th
1910177.6,16-20 th,51-65 th
1960498.0,16-20 th,41-50 th
1474807.8,16-20 th,41-50 th
863429.6,> 20 th,41-50 th
703154.8,> 20 th,41-50 th
313174.6,> 20 th,41-50 th
227443.0,> 20 th,41-50 th
146894.2,> 20 th,41-50 th
15891.4,> 20 th,41-50 th
54369.2,> 20 th,51-65 th
3115921.4,16-20 th,31-40 th
3140047.8,16-20 th,31-40 th
3284984.4,11-15 th,31-40 th
3386758.6,11-15 th,51-65 th
3482130.6,> 20 th,31-40 th
3473221.0,11-15 th,41-50 th
3534669.2,11-15 th,41-50 th
3733877.8,11-15 th,31-40 th
3767689.4,11-15 th,51-65 th
3800004.8,11-15 th,31-40 th
3804483.8,11-15 th,51-65 th
3839996.8,11-15 th,31-40 th
3848661.4,11-15 th,21-30 th
3899041.8,11-15 th,41-50 th
3972256.6,11-15 th,41-50 th
4019660.0,11-15 th,21-30 th
4008257.8,11-15 th,41-50 th
4052028.6,11-15 th,31-40 th
4155780.4,11-15 th,31-40 th
4192107.0,11-15 th,31-40 th
4312407.4,> 20 th,51-65 th
4370077.6,6-10 th,31-40 th
4369690.0,6-10 th,21-30 th
4334889.4,6-10 th,21-30 th
4339252.0,6-10 th,21-30 th
4327853.8,6-10 th,31-40 th
4413652.8,6-10 th,21-30 th
4381826.8,6-10 th,31-40 th
4462060.0,6-10 th,41-50 th
4473940.8,6-10 th,31-40 th
4451712.8,6-10 th,41-50 th
4524606.2,6-10 th,31-40 th
4602684.0,6-10 th,21-30 th
4615742.8,6-10 th,31-40 th
4598989.6,6-10 th,51-65 th
4646079.2,6-10 th,21-30 th
4772530.2,6-10 th,21-30 th
4763926.4,6-10 th,21-30 th
4761452.6,6-10 th,31-40 th
4821958.8,6-10 th,31-40 th
4797376.6,6-10 th,31-40 th
4880403.0,6-10 th,21-30 th
4842388.4,6-10 th,31-40 th
4860049.4,6-10 th,31-40 th
4928075.0,6-10 th,31-40 th
4909722.6,6-10 th,21-30 th
4901024.8,6-10 th,31-40 th
4889094.8,6-10 th,21-30 th
4991228.4,6-10 th,21-30 th
5044110.0,6-10 th,21-30 th
5048711.8,6-10 th,31-40 th
5025386.8,6-10 th,31-40 th
5090752.8,6-10 th,31-40 th
5102021.6,6-10 th,21-30 th
5165737.6,6-10 th,31-40 th
5216812.6,6-10 th,21-30 th
5184436.8,6-10 th,21-30 th
5238579.2,6-10 th,21-30 th
5279709.4,6-10 th,21-30 th
5274267.0,6-10 th,21-30 th
5371845.0,6-10 th,31-40 th
5369262.8,6-10 th,21-30 th
5377948.4,6-10 th,21-30 th
5456561.4,6-10 th,21-30 th
5480356.0,6-10 th,21-30 th
5481057.0,6-10 th,31-40 th
5528424.6,6-10 th,21-30 th
5513277.2,6-10 th,21-30 th
5561020.6,6-10 th,21-30 th
5551555.4,6-10 th,21-30 th
5561431.6,6-10 th,21-30 th
5541123.8,6-10 th,21-30 th
5603564.8,6-10 th,51-65 th
5587560.6,6-10 th,31-40 th
5582220.8,6-10 th,21-30 th
5627503.8,6-10 th,21-30 th
5624434.8,6-10 th,21-30 th
5662621.0,6-10 th,21-30 th
5643359.4,6-10 th,31-40 th
5700481.6,6-10 th,31-40 th
5696875.0,6-10 th,21-30 th
5716908.2,5 th,21-30 th
5766279.4,5 th,31-40 th
5789074.0,5 th,21-30 th
5850491.8,5 th,21-30 th
5848801.8,5 th,21-30 th
5823513.6,5 th,21-30 th
5825070.4,5 th,31-40 th
5825335.2,5 th,21-30 th
5869607.4,5 th,21-30 th
5880682.8,5 th,21-30 th
5973738.6,5 th,31-40 th
5984587.2,5 th,21-30 th
5994759.8,5 th,21-30 th
5994875.6,5 th,21-30 th
6004082.0,5 th,51-65 th
6045203.2,5 th,21-30 th
6036433.2,5 th,21-30 th
6024159.8,5 th,21-30 th
6030756.6,5 th,21-30 th
6082132.6,5 th,21-30 th
6075182.6,5 th,21-30 th
6066790.6,5 th,21-30 th
6111043.6,5 th,21-30 th
6091904.4,5 th,51-65 th
6096785.6,5 th,41-50 th
6133208.0,4 th,21-30 th
6124527.2,5 th,41-50 th
6126489.6,5 th,21-30 th
6203362.0,4 th,31-40 th
6200815.0,4 th,21-30 th
6267903.8,4 th,41-50 th
6268590.0,4 th,21-30 th
6293218.8,4 th,31-40 th
6276170.0,4 th,21-30 th
6325380.0,4 th,21-30 th
6315105.0,4 th,21-30 th
6349537.0,4 th,31-40 th
6384549.8,6-10 th,21-30 th
6376318.0,4 th,21-30 th
6396157.8,4 th,21-30 th
6468370.2,4 th,21-30 th
6466957.2,4 th,31-40 th
6462869.8,4 th,21-30 th
6536231.8,4 th,21-30 th
6550583.8,4 th,31-40 th
6593923.4,3 th,21-30 th
6585374.2,3 th,21-30 th
6622768.6,3 th,21-30 th
6634927.4,3 th,21-30 th
6662997.4,3 th,21-30 th
6767269.0,3 th,21-30 th
6743466.8,3 th,21-30 th
6753021.0,3 th,31-40 th
6755696.4,3 th,21-30 th
6819560.4,3 th,21-30 th
6844654.6,3 th,21-30 th
6922156.2,3 th,21-30 th
6956034.6,3 th,21-30 th
6984376.0,3 th,21-30 th
7003106.4,2 th,21-30 th
7004363.6,2 th,21-30 th
7003463.2,2 th,31-40 th
7009930.8,2 th,21-30 th
7075639.2,2 th,21-30 th
7075983.8,2 th,21-30 th
7117095.4,2 th,21-30 th
7103596.6,2 th,21-30 th
7137838.0,2 th,21-30 th
7119116.6,2 th,21-30 th
7193798.0,2 th,21-30 th
7173517.6,2 th,41-50 th
7205823.6,2 th,31-40 th
7200137.2,2 th,31-40 th
7204921.4,2 th,21-30 th
7200385.4,2 th,21-30 th
7240597.2,2 th,21-30 th
7271883.8,2 th,21-30 th
7253393.8,2 th,21-30 th
7281530.8,2 th,21-30 th
7320364.6,2 th,31-40 th
7304449.6,2 th,21-30 th
7302038.4,2 th,21-30 th
7395962.2,2 th,21-30 th
7379024.4,2 th,21-30 th
7407635.2,2 th,31-40 th
7405612.2,2 th,21-30 th
7447144.4,1 th,21-30 th
7492951.6,1 th,21-30 th
7492612.2,1 th,21-30 th
7509358.0,1 th,21-30 th
7531682.6,1 th,21-30 th
7562780.4,1 th,21-30 th
7554247.6,1 th,21-30 th
7553215.0,1 th,21-30 th
7598050.8,1 th,21-30 th
7622368.4,1 th,21-30 th
7624660.4,1 th,31-40 th
7690532.6,1 th,21-30 th
7709107.4,1 th,21-30 th
7717854.4,1 th,21-30 th
7747679.4,1 th,21-30 th
7777032.8,1 th,21-30 th
7779375.6,1 th,21-30 th
7831763.6,1 th,41-50 th
7853104.6,1 th,21-30 th
7862272.6,1 th,31-40 th
7875461.6,1 th,21-30 th
2822631.6,16-20 th,41-50 th
2712675.4,16-20 th,41-50 th
2712190.0,16-20 th,41-50 th
2649499.2,16-20 th,41-50 th
2574206.0,16-20 th,31-40 th
2577667.4,16-20 th,31-40 th
2419868.6,16-20 th,31-40 th
2250103.8,16-20 th,41-50 th
2132752.0,16-20 th,31-40 th
2170726.4,16-20 th,41-50 th
2180264.2,16-20 th,51-65 th
2082522.0,16-20 th,31-40 th
1646203.8,16-20 th,41-50 th
1641460.0,16-20 th,41-50 th
1471752.6,16-20 th,41-50 th
996562.4,> 20 th,31-40 th
904338.8,> 20 th,41-50 th
643966.8,> 20 th,51-65 th
550644.4,> 20 th,51-65 th
554804.0,> 20 th,41-50 th
348698.8,> 20 th,51-65 th
226831.0,> 20 th,41-50 th
2924581.0,16-20 th,41-50 th
2867381.4,16-20 th,31-40 th
2641539.2,16-20 th,41-50 th
2618029.4,16-20 th,31-40 th
2453735.8,16-20 th,31-40 th
2263747.6,16-20 th,51-65 th
1998968.6,16-20 th,51-65 th
2013552.8,16-20 th,21-30 th
1157092.2,> 20 th,31-40 th
938250.6,> 20 th,41-50 th
676606.6,> 20 th,41-50 th
358231.0,> 20 th,41-50 th
31870.2,> 20 th,41-50 th
3145318.0,16-20 th,41-50 th
3213845.6,16-20 th,41-50 th
3251541.8,16-20 th,41-50 th
3246730.8,16-20 th,41-50 th
3379367.0,11-15 th,41-50 th
3416757.4,11-15 th,41-50 th
3468629.0,11-15 th,51-65 th
3544187.4,11-15 th,31-40 th
3591822.6,11-15 th,41-50 th
3640440.8,11-15 th,31-40 th
3631791.8,16-20 th,51-65 th
3776916.6,11-15 th,41-50 th
3791858.4,11-15 th,51-65 th
3838675.2,11-15 th,31-40 th
3910047.2,11-15 th,31-40 th
3954774.4,11-15 th,41-50 th
3962488.4,11-15 th,21-30 th
3984204.4,11-15 th,41-50 th
4032313.6,11-15 th,31-40 th
4124914.4,11-15 th,31-40 th
4123302.2,11-15 th,31-40 th
4139614.6,11-15 th,31-40 th
4144539.2,11-15 th,41-50 th
4214273.0,11-15 th,31-40 th
4165795.4,11-15 th,41-50 th
4176323.8,11-15 th,21-30 th
4263551.2,6-10 th,51-65 th
4246731.2,11-15 th,31-40 th
4291498.0,6-10 th,31-40 th
4350009.4,6-10 th,21-30 th
4342312.0,6-10 th,31-40 th
4427597.6,11-15 th,31-40 th
4471205.6,6-10 th,31-40 th
4477901.0,6-10 th,31-40 th
4451908.2,6-10 th,51-65 th
4620200.0,6-10 th,21-30 th
4610947.0,6-10 th,21-30 th
4668329.2,6-10 th,21-30 th
4657697.8,6-10 th,31-40 th
4698634.4,6-10 th,21-30 th
4771193.4,6-10 th,21-30 th
4759214.4,6-10 th,21-30 th
4755605.4,6-10 th,21-30 th
4821115.0,6-10 th,31-40 th
4795163.4,6-10 th,21-30 th
4868075.0,6-10 th,21-30 th
4853508.4,6-10 th,21-30 th
4923258.4,6-10 th,21-30 th
4921987.2,6-10 th,31-40 th
4911228.2,6-10 th,21-30 th
4920806.6,6-10 th,31-40 th
4887909.6,6-10 th,21-30 th
4929269.0,6-10 th,31-40 th
4942576.2,6-10 th,41-50 th
5015904.2,6-10 th,31-40 th
4989899.6,6-10 th,41-50 th
5040223.6,6-10 th,21-30 th
5089509.6,6-10 th,21-30 th
5118069.2,6-10 th,31-40 th
5108830.0,6-10 th,31-40 th
5111767.6,6-10 th,21-30 th
5150715.8,6-10 th,21-30 th
5154711.6,6-10 th,21-30 th
5212577.6,6-10 th,21-30 th
5204215.0,6-10 th,21-30 th
5242392.0,6-10 th,41-50 th
5283334.6,6-10 th,31-40 th
5286064.0,6-10 th,31-40 th
5336335.2,6-10 th,21-30 th
5318835.0,6-10 th,31-40 th
5320383.2,6-10 th,21-30 th
5368196.6,6-10 th,21-30 th
5374632.8,6-10 th,21-30 th
5404716.8,6-10 th,21-30 th
5414741.2,6-10 th,41-50 th
5423874.8,6-10 th,21-30 th
5420568.4,6-10 th,21-30 th
5489400.8,6-10 th,21-30 th
5457476.6,6-10 th,31-40 th
5459734.0,6-10 th,31-40 th
5526803.8,6-10 th,21-30 th
5511206.2,6-10 th,21-30 th
5512676.0,6-10 th,21-30 th
5507738.2,6-10 th,31-40 th
5557849.2,6-10 th,31-40 th
5602180.8,6-10 th,21-30 th
5628033.2,6-10 th,31-40 th
5633927.6,6-10 th,41-50 th
5613638.6,6-10 th,21-30 th
5611941.8,6-10 th,21-30 th
5676282.8,6-10 th,31-40 th
5677508.6,6-10 th,21-30 th
5646114.0,6-10 th,21-30 th
5697788.8,6-10 th,31-40 th
5699026.6,6-10 th,21-30 th
